iter	Passed	Remaining
0	0	966
1	1	863
2	2	818
3	3	814
4	4	830
5	5	842
6	5	846
7	6	835
8	7	825
9	8	816
10	8	808
11	9	804
12	10	800
13	11	797
14	12	794
15	12	791
16	13	786
17	14	784
18	15	781
19	15	779
20	16	775
21	17	774
22	18	787
23	19	799
24	20	809
25	21	814
26	22	815
27	23	817
28	24	817
29	25	816
30	26	815
31	26	815
32	27	816
33	28	814
34	29	813
35	30	810
36	31	807
37	31	805
38	32	803
39	33	800
40	34	799
41	35	798
42	35	796
43	36	794
44	37	791
45	38	789
46	38	786
47	39	783
48	40	780
49	40	778
50	41	777
51	42	775
52	43	772
53	44	770
54	44	769
55	45	767
56	46	765
57	47	763
58	47	761
59	48	760
60	49	759
61	50	760
62	51	759
63	51	757
64	52	755
65	53	754
66	54	753
67	54	751
68	55	750
69	56	749
70	57	747
71	57	747
72	58	745
73	59	743
74	60	742
75	60	740
76	61	739
77	62	737
78	63	736
79	63	734
80	64	734
81	65	733
82	66	729
83	66	727
84	67	726
85	68	725
86	68	723
87	69	722
88	70	721
89	71	720
90	71	719
91	72	718
92	73	716
93	74	715
94	74	714
95	75	714
96	76	713
97	77	714
98	78	715
99	79	715
100	80	716
101	81	716
102	82	715
103	83	715
104	83	715
105	84	714
106	85	713
107	86	711
108	86	710
109	87	708
110	88	706
111	88	704
112	89	703
113	90	701
114	90	699
115	91	698
116	92	695
117	92	693
118	93	692
119	94	690
120	94	688
121	95	687
122	96	686
123	96	684
124	97	683
125	98	682
126	98	679
127	99	678
128	100	677
129	100	675
130	101	674
131	102	672
132	102	671
133	103	669
134	104	668
135	104	666
136	105	665
137	106	664
138	106	662
139	107	661
140	108	660
141	108	657
142	109	656
143	110	655
144	111	654
145	112	656
146	113	657
147	114	657
148	114	656
149	115	655
150	116	653
151	116	652
152	117	651
153	118	649
154	118	648
155	119	647
156	120	646
157	121	644
158	121	643
159	122	642
160	122	639
161	123	638
162	124	637
163	124	636
164	125	636
165	126	635
166	127	637
167	128	638
168	129	638
169	130	638
170	131	638
171	132	638
172	133	637
173	134	636
174	134	635
175	135	634
176	136	633
177	136	632
178	137	631
179	138	630
180	139	629
181	139	629
182	140	628
183	141	627
184	142	626
185	142	625
186	143	624
187	144	622
188	144	621
189	145	620
190	146	619
191	146	617
192	147	616
193	148	615
194	148	614
195	149	613
196	150	612
197	150	610
198	151	609
199	152	608
200	152	607
201	153	606
202	154	605
203	154	604
204	155	603
205	156	603
206	157	602
207	157	601
208	158	600
209	159	599
210	160	598
211	160	597
212	161	596
213	162	595
214	162	594
215	163	593
216	164	592
217	164	591
218	165	590
219	166	588
220	166	587
221	167	586
222	168	585
223	168	584
224	169	584
225	170	583
226	170	582
227	171	581
228	172	580
229	173	579
230	173	578
231	174	577
232	175	576
233	175	575
234	176	574
235	177	573
236	177	572
237	178	571
238	179	570
239	179	569
240	180	568
241	181	567
242	181	566
243	182	565
244	183	564
245	183	563
246	184	562
247	185	562
248	186	561
249	186	560
250	187	559
251	188	558
252	188	557
253	189	556
254	190	555
255	190	554
256	191	553
257	192	552
258	192	551
259	193	550
260	194	549
261	194	548
262	195	547
263	196	546
264	196	545
265	197	544
266	198	543
267	198	542
268	199	541
